path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes,reference
case.diagnosisOd.hpoTerms[].text,string,no,yes,,,,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.text,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
case.diagnosisOd.hpoTerms[].version,string,no,yes,,,Version of the system - if relevant,Seltene,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-hpo-assessment,Observation.code.coding.version,HPO term in Observation.code (NOT value[x]); http://human-phenotype-ontology.org (LOCKED); change->component[status].interpretation newly-added/no-longer-observed,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-seltene-hpo-assessment | oBDS-to-FHIR (bzkf)
case.diagnosisOd.libraryType,string,yes,no,"panel, wes, wgs, wgs_lr, none",,"Art der Sequenzierung oder none, falls keine Sequenzierung indiziert",MolGen,ServiceRequest,ServiceRequest.code,sequencing type panel/wes/wgs/none; not a diagnosis,MAPPED,[[mii-diagnose-onkologie]],ServiceRequest
case.diagnosisOd.mainDiagnosis.code,string,yes,no,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.code.coding:icd10-gm.code,primary oncological diagnosis; ICD-10-GM +version 1..1; SCT/orphanet/alpha-id parallel codings on same Condition,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.mainDiagnosis.date,string,yes,no,,date,"Date of the main diagnosis. If the day is unknown, use the 15th of the month.",MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.recordedDate,primary oncological diagnosis; ICD-10-GM +version 1..1; SCT/orphanet/alpha-id parallel codings on same Condition,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.mainDiagnosis.display,string,no,no,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.code.coding:icd10-gm.display,primary oncological diagnosis; ICD-10-GM +version 1..1; SCT/orphanet/alpha-id parallel codings on same Condition,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.mainDiagnosis.system,string,yes,no,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.code.coding:icd10-gm.system,primary oncological diagnosis; ICD-10-GM +version 1..1; SCT/orphanet/alpha-id parallel codings on same Condition,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.mainDiagnosis.version,string,yes,no,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.code.coding:icd10-gm.version,primary oncological diagnosis; ICD-10-GM +version 1..1; SCT/orphanet/alpha-id parallel codings on same Condition,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.tnmClassifications[].code,string,yes,yes,,,Symbol in syntax defined by the system,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation,Observation.hasMember -> T/N/M category Observations,TNM: grouping Observation.code = clinical 399537006 / pathologic 399588009 (bind MII_VS_Onko_TNM_Klassifikation_Typ; do NOT hard-code clinical); T/N/M categories SNOMED; values UICC https://www.uicc.org/resources/tnm; hasMember (NOT component); c/p via mii-ex-onko-tnm-cp-praefix,MAPPED,"[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | CLIN-REVIEW: (Lucien Clin) Why represent the triple of conceps T,N,M as mutltiple Observation, instead of one composite Observation, i.e. as one Observation with 3 entries underObservation.component? | CLIN-RESOLVE (diverge): MII Onko TNM = SNOMED-coded parent Observation + separate T/N/M Observations via hasMember (values in UICC), NOT one Observation with 3 components (that is the HL7-DE/LOINC style). Ref: medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation; [[obds-to-fhir/ALIGNMENT]]. | NUM-OMICS: 399537006 is CLINICAL grouping only; pathologic=399588009 - don't hard-code clinical",mii-pr-onko-tnm-klassifikation | oBDS-to-FHIR (bzkf); MII Onko extensions | SNOMED 399537006(clin)/399588009(path); MII_VS_Onko_TNM_Klassifikation_Typ; NUM-OMICS review (LOINC-verified 2026-07)
case.diagnosisOd.tnmClassifications[].display,string,yes,yes,,,Representation defined by the system,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation,Observation.hasMember -> T/N/M category Observations,TNM: grouping Observation.code = clinical 399537006 / pathologic 399588009 (bind MII_VS_Onko_TNM_Klassifikation_Typ; do NOT hard-code clinical); T/N/M categories SNOMED; values UICC https://www.uicc.org/resources/tnm; hasMember (NOT component); c/p via mii-ex-onko-tnm-cp-praefix,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: 399537006 is CLINICAL grouping only; pathologic=399588009 - don't hard-code clinical,mii-pr-onko-tnm-klassifikation | oBDS-to-FHIR (bzkf); MII Onko extensions | SNOMED 399537006(clin)/399588009(path); MII_VS_Onko_TNM_Klassifikation_Typ; NUM-OMICS review (LOINC-verified 2026-07)
case.diagnosisOd.tnmClassifications[].system,string,yes,yes,,uri,Identity of the terminology system,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation,Observation.hasMember -> T/N/M category Observations,TNM: grouping Observation.code = clinical 399537006 / pathologic 399588009 (bind MII_VS_Onko_TNM_Klassifikation_Typ; do NOT hard-code clinical); T/N/M categories SNOMED; values UICC https://www.uicc.org/resources/tnm; hasMember (NOT component); c/p via mii-ex-onko-tnm-cp-praefix,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: 399537006 is CLINICAL grouping only; pathologic=399588009 - don't hard-code clinical,mii-pr-onko-tnm-klassifikation | oBDS-to-FHIR (bzkf); MII Onko extensions | SNOMED 399537006(clin)/399588009(path); MII_VS_Onko_TNM_Klassifikation_Typ; NUM-OMICS review (LOINC-verified 2026-07)
case.diagnosisOd.tnmClassifications[].text,string,no,yes,,,"Optional shorthand notation for quick reference, e.g., 'cT1a'.",Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation,Observation.hasMember -> T/N/M category Observations,TNM: grouping Observation.code = clinical 399537006 / pathologic 399588009 (bind MII_VS_Onko_TNM_Klassifikation_Typ; do NOT hard-code clinical); T/N/M categories SNOMED; values UICC https://www.uicc.org/resources/tnm; hasMember (NOT component); c/p via mii-ex-onko-tnm-cp-praefix,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: 399537006 is CLINICAL grouping only; pathologic=399588009 - don't hard-code clinical,mii-pr-onko-tnm-klassifikation | oBDS-to-FHIR (bzkf); MII Onko extensions | SNOMED 399537006(clin)/399588009(path); MII_VS_Onko_TNM_Klassifikation_Typ; NUM-OMICS review (LOINC-verified 2026-07)
case.diagnosisOd.tnmClassifications[].version,string,yes,yes,,,Version of the system - if relevant,Onkologie,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-tnm-klassifikation,Observation.hasMember -> T/N/M category Observations,TNM: grouping Observation.code = clinical 399537006 / pathologic 399588009 (bind MII_VS_Onko_TNM_Klassifikation_Typ; do NOT hard-code clinical); T/N/M categories SNOMED; values UICC https://www.uicc.org/resources/tnm; hasMember (NOT component); c/p via mii-ex-onko-tnm-cp-praefix,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]] | NUM-OMICS: 399537006 is CLINICAL grouping only; pathologic=399588009 - don't hard-code clinical,mii-pr-onko-tnm-klassifikation | oBDS-to-FHIR (bzkf); MII Onko extensions | SNOMED 399537006(clin)/399588009(path); MII_VS_Onko_TNM_Klassifikation_Typ; NUM-OMICS review (LOINC-verified 2026-07)
case.diagnosisOd.topography.code,string,yes,no,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.bodySite (ICD-O-3 coding),"ICD-O-3 topography -> Condition.bodySite; system http://terminology.hl7.org/CodeSystem/icd-o-3 (HL7 URI, NOT OID)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.topography.display,string,no,no,,,Representation defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.bodySite (ICD-O-3 coding),"ICD-O-3 topography -> Condition.bodySite; system http://terminology.hl7.org/CodeSystem/icd-o-3 (HL7 URI, NOT OID)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.topography.system,string,yes,no,,uri,Identity of the terminology system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.bodySite (ICD-O-3 coding),"ICD-O-3 topography -> Condition.bodySite; system http://terminology.hl7.org/CodeSystem/icd-o-3 (HL7 URI, NOT OID)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.diagnosisOd.topography.version,string,yes,no,,,Version of the system - if relevant,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-diagnose-primaertumor,Condition.bodySite (ICD-O-3 coding),"ICD-O-3 topography -> Condition.bodySite; system http://terminology.hl7.org/CodeSystem/icd-o-3 (HL7 URI, NOT OID)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-diagnose-primaertumor | oBDS-to-FHIR (bzkf)
case.priorDiagnostics[].complexVariants[],string,no,yes,,,,MolGen,DiagnosticReport (MolGen),DiagnosticReport,prior molecular diagnostics report,DRAFT,,DiagnosticReport (MolGen)
case.priorDiagnostics[].date,string,no,yes,,date,,MolGen,DiagnosticReport (MolGen),DiagnosticReport.effectiveDateTime,prior molecular diagnostics report; date the diagnostic was performed,DRAFT,"CLIN-REVIEW: (Lucien Clin) I'd say that's wrong: should rather be DiagnosticReport.issued | CLIN-RESOLVE (agree): the row is a MolGen DiagnosticReport, so date -> DiagnosticReport.effectiveDateTime (performed), not Condition.recordedDate; .issued would be report-release time, which genomDE does not carry.",DiagnosticReport (MolGen)
case.priorDiagnostics[].simpleVariants[].dnaChange,string,yes,yes,,,HGVSc (Change at DNA Level). e.g. c.173_187del,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].gene.code,string,yes,yes,,,Symbol in syntax defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].gene.display,string,yes,yes,,,Representation defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].gene.system,string,no,yes,,uri,Identity of the terminology system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].gene.version,string,no,yes,,,Version of the system - if relevant,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].proteinChange,string,no,yes,,,HGVSp (Change at Protein Level). e.g. p.V600E,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].transcript.code,string,yes,yes,,,Symbol in syntax defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].transcript.display,string,no,yes,,,Representation defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].transcript.system,string,yes,yes,,uri,Identity of the terminology system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].transcript.version,string,no,yes,,,Version of the system - if relevant,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].variantTypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].variantTypes[].display,string,no,yes,,,Representation defined by the system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].variantTypes[].system,string,yes,yes,,uri,Identity of the terminology system,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].simpleVariants[].variantTypes[].version,string,yes,yes,,,Version of the system - if relevant,MolGen,Observation (Variante),Observation,prior molecular variant (Genomics Reporting variant); VERIFY MolGen profile canonical,DRAFT,,Observation (Variante)
case.priorDiagnostics[].type,string,yes,yes,"exome, genomeLongRead, genomeShortRead, panel, single, array, karyotyping, other, none",,,MolGen,DiagnosticReport (MolGen),DiagnosticReport.code,prior molecular diagnostics report,DRAFT,"CLIN-REVIEW: (Lucien Clin) Unprecise: DiagnosticReport.code | CLIN-RESOLVE (agree): the type enum (exome/genome/panel/...) is the kind of report -> DiagnosticReport.code (optionally .category), not the bare resource.",DiagnosticReport (MolGen)
case.priorProcedures[].intention,string,no,yes,"K, P, S, X",,,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemische-vortherapie,Procedure.extension(Intention),"prior systemic therapy; Stellung/Intention via mii-ex-onko-systemische-therapie-{stellungzurop,intention} (MII URLs, not fhir.de)",MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemische-vortherapie | oBDS-to-FHIR (bzkf); MII Onko extensions
case.priorProcedures[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,MTB,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement,MedicationStatement.medicationCodeableConcept.coding:atc.code,ATC http://fhir.de/CodeSystem/bfarm/atc; one MedicationStatement per substance,MAPPED,[[obds-to-fhir/ALIGNMENT]] [[ref-bzkf-obds-to-fhir]],mii-pr-mtb-systemtherapie-medication-statement | oBDS-to-FHIR (bzkf)
