path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
donors[].labData[].sequenceData.bioinformaticsPipelineVersion,string,yes,yes,,,Version or commit hash of the bioinformatics pipeline,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.callerUsed[].name,string,yes,yes,,,Name of the caller used,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.callerUsed[].version,string,yes,yes,,,Version of the caller used,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].checksumType,string,no,yes,sha256,,Type of checksum algorithm used,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].fileChecksum,string,yes,yes,,,checksum of the file,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].filePath,string,yes,yes,,,"Path relative to the submission files directory, e.g.: 'patient_001/patient_001_dna.fastq.gz' if the file is located in <submission root>/files/patient_001/patient_001_dna.fastq.gz",,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].fileSizeInBytes,number,yes,yes,,,Size of the file in bytes,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].fileType,string,yes,yes,"bam, vcf, bed, fastq",,"Type of the file; if BED file is submitted, only 1 file is allowed.",,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].flowcellId,string,no,yes,,,Indicates the flow cell.,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].laneId,string,no,yes,,,Indicates the lane,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].readLength,integer,no,yes,,,The read length; in the case of long-read sequencing it is the rounded average read length.,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.files[].readOrder,string,no,yes,"R1, R2",,Indicates the read order for paired-end reads.,,,raw genomic files — out of OMOP scope,,NOMAP,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.meanDepthOfCoverage,number,yes,yes,,,Mean depth of coverage,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.minCoverage,number,yes,yes,,,Minimum coverage,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.nonCodingVariants,boolean,yes,yes,,,The analysis includes non-coding variants -> true or false,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.percentBasesAboveQualityThreshold.minimumQuality,number,yes,yes,,,The minimum quality score threshold,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.percentBasesAboveQualityThreshold.percent,number,yes,yes,,,Percentage of bases that meet or exceed the minimum quality score,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.referenceGenome,string,yes,yes,"GRCh37, GRCh38",,Reference genome used according to the Genome Reference Consortium (https://www.ncbi.nlm.nih.gov/grc),measurement,—,no OMOP reference-genome-build field (coordinate-provenance liability),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceData.targetedRegionsAboveMinCoverage,number,yes,yes,,,Fraction of targeted regions that are above minimum coverage,measurement,value_as_number (local),coverage/quality QC: no OMOP home (G-CDM partial),GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | no FHIR->OMOP mapper exists (genomics out of scope in ETL + HL7 IG) -> direct-to-OMOP-Genomic-CDM only | [[fhir-to-omop-mihubx-etl]]
donors[].labData[].sequenceSubtype,string,yes,yes,"germline, somatic, other, unknown",,"Subtype of sequence (germline, somatic, etc.)",measurement,—,no OMOP home,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
donors[].labData[].sequenceType,string,yes,yes,"dna, rna",,Type of sequence (DNA or RNA),measurement,—,no OMOP home,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
donors[].labData[].sequencerManufacturer,string,yes,yes,,,Sequencer manufacturer,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].sequencerModel,string,yes,yes,,,Name/version of the sequencer model,,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].sequencingLayout,string,yes,yes,"single-end, paired-end, reverse, other",,"The sequencing layout, aka the end type of sequencing.",,,no OMOP home,GAP,NOMAP,[[knowledge/omop]] research 2026-06-30
donors[].labData[].tissueOntology.name,string,yes,yes,,,Name of the tissue ontology,specimen,specimen_concept_id / anatomic_site_concept_id,BTO/SNOMED,tissue type,MAPPED,
donors[].labData[].tissueOntology.version,string,yes,yes,,,Version of the tissue ontology,specimen,specimen_concept_id / anatomic_site_concept_id,BTO/SNOMED,tissue type,MAPPED,
donors[].labData[].tissueTypeId,string,yes,yes,,,Tissue ID according to the ontology in use.,specimen,specimen_concept_id,BTO/SNOMED,tissue code,MAPPED,
donors[].labData[].tissueTypeName,string,yes,yes,,,Tissue name according to the ontology in use.,specimen,specimen_source_value,-,tissue display,MAPPED,
donors[].labData[].tumorCellCount[].count,number,yes,yes,,,Tumor cell count in %,measurement,value_as_number,-,tumour cell content %,DRAFT,
donors[].labData[].tumorCellCount[].method,string,yes,yes,"pathology, bioinformatics, other, unknown",,Method used to determine cell count.,measurement,value_as_number,-,tumour cell content %,DRAFT,
donors[].mvConsent.presentationDate,string,no,yes,,date,"Date of delivery. Date (in ISO 8601 format YYYY-MM-DD) on which the Model Project Declaration of Participation was presented to the patient, unless identical to the date of signature",observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].mvConsent.scope[].date,string,yes,yes,,date,Date of signature of the pilot projects consent; in ISO 8601 format YYYY-MM-DD.,observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].mvConsent.scope[].domain,string,yes,yes,"mvSequencing, reIdentification, caseIdentification",,Scope of consent or revocation.,observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].mvConsent.scope[].type,string,yes,yes,"permit, deny",,"Consent or refusal to participate and consent, must be indicated for each option listed in the scope of consent.",observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].mvConsent.version,string,yes,yes,,,"Version of the declaration of participation. Name and version of the declaration of participation in the MV GenomSeq, e.g.: 'Patient Info TE Consent MVGenomSeq vers01'",observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].relation,string,yes,yes,"mother, father, brother, sister, child, index, other",,"Relationship of the donor in respect to the index patient, e.g. 'index', 'brother', 'mother', etc.",fact_relationship,fact_relationship (person-person),-,trio/family relation; index donor = the person,DRAFT,
donors[].researchConsents[].noScopeJustification,string,no,yes,"patient unable to consent, patient refuses to sign consent, patient did not return consent documents, other patient-related reason, consent information cannot be submitted by LE due to technical reason, consent is not implemented at LE due to organizational issues",,Justification if no scope object is present.,observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].researchConsents[].presentationDate,string,yes,yes,,date,Date of the delivery of the research consent in ISO 8601 format (YYYY-MM-DD),observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].researchConsents[].schemaVersion,string,no,yes,2025.0.1,,Schema version of de.medizininformatikinitiative.kerndatensatz.consent,observation,observation (consent),-,no OMOP consent model,DRAFT,
donors[].researchConsents[].scope,object,no,yes,,,Scope of the research consent in JSON format following the MII IG Consent v2025 FHIR schema. See 'https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Consent_V2025/MII-IG-Modul-Consent.html' and 'https://packages2.fhir.org/packages/de.medizininformatikinitiative.kerndatensatz.consent'.,observation,observation (consent),-,no OMOP consent model,DRAFT,
submission.clinicalDataNodeId,string,yes,no,,,ID of the clinical data node in the format KDKXXXnnn.,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.coverageType,string,yes,no,"GKV, PKV, BG, SEL, SOZ, GPV, PPV, BEI, SKT, UNK",,"""GKV"" gesetzliche Krankenversicherung, ""PKV"" private Krankenversicherung, ""BG"" Berufsgenossenschaft, ""SEL"" Selbstzahler, ""SOZ"" Sozialamt, ""GPV"" gesetzliche Pflegeversicherung, ""PPV"" private Pflegeversicherung, ""BEI"" Beihilfe, ""SKT"" Sonstige Kostenträger, ""UNK"" Unbekannt",,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.diseaseType,string,yes,no,"oncological, rare, hereditary",,Type of the disease,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.genomicDataCenterId,string,yes,no,,,ID of the genomic data center in the format GRZXXXnnn.,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.genomicStudySubtype,string,yes,no,"tumor-only, tumor+germline, germline-only",,whether tumor and/or germ-line are tested,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.genomicStudyType,string,yes,no,"single, duo, trio",,whether additional persons are tested as well,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.labName,string,yes,no,,,Name of the sequencing lab.,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.localCaseId,string,yes,no,,,A local case identifier of the Leistungserbringer to be able to track multiple submissions referring to the same index patient,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.submissionDate,string,yes,no,,date,Date of submission in ISO 8601 format YYYY-MM-DD,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.submissionType,string,yes,no,"initial, followup, addition, correction, test",,"The options are: 'initial' for first submission, 'followup' is for followup submissions, 'addition' for additional submission, 'correction' for correction",,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.submitterId,string,yes,no,,,Institutional ID of the submitter according to §293 SGB V.,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
submission.tanG,string,yes,no,,,The VNg of the genomic data of the index patient that will be reimbursed --> a unique 32-length byte code represented in a hex string of length 64.,,,-,GRZ transport metadata; not OMOP clinical,NOMAP,
