path,type,required,array,enum,format,description,mii_module,mii_profile,fhir_element,transform,status,notes
donors[].relation,string,yes,yes,"mother, father, brother, sister, child, index, other",,"Relationship of the donor in respect to the index patient, e.g. 'index', 'brother', 'mother', etc.",Person,FamilyMemberHistory,FamilyMemberHistory.relationship,trio mother/father/sibling; index -> the Patient itself,DRAFT,
donors[].researchConsents[].noScopeJustification,string,no,yes,"patient unable to consent, patient refuses to sign consent, patient did not return consent documents, other patient-related reason, consent information cannot be submitted by LE due to technical reason, consent is not implemented at LE due to organizational issues",,Justification if no scope object is present.,Consent,Consent,Consent (MII Broad Consent),scope=embedded MII Consent object,DRAFT,
donors[].researchConsents[].presentationDate,string,yes,yes,,date,Date of the delivery of the research consent in ISO 8601 format (YYYY-MM-DD),Consent,Consent,Consent (MII Broad Consent),scope=embedded MII Consent object,DRAFT,
donors[].researchConsents[].schemaVersion,string,no,yes,2025.0.1,,Schema version of de.medizininformatikinitiative.kerndatensatz.consent,Consent,Consent,Consent (MII Broad Consent),scope=embedded MII Consent object,DRAFT,
donors[].researchConsents[].scope,object,no,yes,,,Scope of the research consent in JSON format following the MII IG Consent v2025 FHIR schema. See 'https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Consent_V2025/MII-IG-Modul-Consent.html' and 'https://packages2.fhir.org/packages/de.medizininformatikinitiative.kerndatensatz.consent'.,Consent,Consent,Consent (MII Broad Consent),scope=embedded MII Consent object,DRAFT,
submission.clinicalDataNodeId,string,yes,no,,,ID of the clinical data node in the format KDKXXXnnn.,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.coverageType,string,yes,no,"GKV, PKV, BG, SEL, SOZ, GPV, PPV, BEI, SKT, UNK",,"""GKV"" gesetzliche Krankenversicherung, ""PKV"" private Krankenversicherung, ""BG"" Berufsgenossenschaft, ""SEL"" Selbstzahler, ""SOZ"" Sozialamt, ""GPV"" gesetzliche Pflegeversicherung, ""PPV"" private Pflegeversicherung, ""BEI"" Beihilfe, ""SKT"" Sonstige Kostenträger, ""UNK"" Unbekannt",Fall,Coverage,Coverage.type,GKV/PKV etc -> Coverage.type (same as KDK),DRAFT,
submission.diseaseType,string,yes,no,"oncological, rare, hereditary",,Type of the disease,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.genomicDataCenterId,string,yes,no,,,ID of the genomic data center in the format GRZXXXnnn.,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.genomicStudySubtype,string,yes,no,"tumor-only, tumor+germline, germline-only",,whether tumor and/or germ-line are tested,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.genomicStudyType,string,yes,no,"single, duo, trio",,whether additional persons are tested as well,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.labName,string,yes,no,,,Name of the sequencing lab.,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.localCaseId,string,yes,no,,,A local case identifier of the Leistungserbringer to be able to track multiple submissions referring to the same index patient,Person,Patient,Patient.identifier,index-patient case id (same as KDK metaData.localCaseId),DRAFT,
submission.submissionDate,string,yes,no,,date,Date of submission in ISO 8601 format YYYY-MM-DD,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.submissionType,string,yes,no,"initial, followup, addition, correction, test",,"The options are: 'initial' for first submission, 'followup' is for followup submissions, 'addition' for additional submission, 'correction' for correction",,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.submitterId,string,yes,no,,,Institutional ID of the submitter according to §293 SGB V.,,,,GRZ submission/transport metadata; not MII KDS clinical (Provenance at most),NOMAP,
submission.tanG,string,yes,no,,,The VNg of the genomic data of the index patient that will be reimbursed --> a unique 32-length byte code represented in a hex string of length 64.,Person,Patient,Patient.identifier,index-patient genomic pseudonym (VNg),DRAFT,
