path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
case.diagnosisRd.phenotypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,observation,observation_concept_id,HPO source vocab (Feb 2026); not standard/queryable,GAP: excluded/refuted + status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only vocab (non-queryable); excluded/refuted unmapped (OMOP absence convention); MONDO bridge option | [[omop-rare-disease-realworld]]
case.diagnosisRd.phenotypes[].display,string,no,yes,,,Representation defined by the system,observation,observation_concept_id,HPO source vocab (Feb 2026); not standard/queryable,GAP: excluded/refuted + status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only vocab (non-queryable); excluded/refuted unmapped (OMOP absence convention); MONDO bridge option | [[omop-rare-disease-realworld]]
case.diagnosisRd.phenotypes[].system,string,no,yes,,uri,Identity of the terminology system,observation,observation_concept_id,HPO source vocab (Feb 2026); not standard/queryable,GAP: excluded/refuted + status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only vocab (non-queryable); excluded/refuted unmapped (OMOP absence convention); MONDO bridge option | [[omop-rare-disease-realworld]]
case.diagnosisRd.phenotypes[].text,string,no,yes,,,Clinical description of the phenotype,observation,observation_concept_id,HPO source vocab (Feb 2026); not standard/queryable,GAP: excluded/refuted + status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only vocab (non-queryable); excluded/refuted unmapped (OMOP absence convention); MONDO bridge option | [[omop-rare-disease-realworld]]
case.diagnosisRd.phenotypes[].version,string,yes,yes,,,Version of the system - if relevant,observation,observation_concept_id,HPO source vocab (Feb 2026); not standard/queryable,GAP: excluded/refuted + status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only vocab (non-queryable); excluded/refuted unmapped (OMOP absence convention); MONDO bridge option | [[omop-rare-disease-realworld]]
case.diagnosisRd.symptomOnsetDate,string,yes,no,,,Start of symptoms,condition_occurrence,,condition_start_date,RD symptom onset,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].diagnosticDate,string,no,yes,,date,Date of diagnostics,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].diagnosticResult,string,yes,yes,"phenotypeNotCompletelyClarified, structuralVariantWithUnclearBreakpoint, unclearVariantInGeneticDisease, noPathogenicVariantDetected, other",,Result of diagnostics,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].genomicStudyType,string,yes,yes,"single, duo, trio",,,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].genomicTestType,string,yes,yes,"exome, genomeLongRead, genomeShortRead, panel, single, array, karyotyping, other, none",,Type of diagnostics,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].hospitalizationDuration,string,yes,yes,"none, upToFive, upToFifteen, upToFifty, moreThanFifty, unknown",,Estimated duration of inpatient case-relevant pre-therapy in days,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].hospitalizationPeriods,string,yes,yes,"none, upToFive, upToTen, upToFifteen, moreThanFifteen, unknown",,Number of inpatient treatments in the last five years,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
case.priorRds[].zseContactDate,string,yes,yes,,,Month and year of first contact with a specialized center for rare diseases,visit_occurrence,visit_occurrence,hospitalization count -> visits,,MAPPED,[[knowledge/omop]] research 2026-06-30
followUp.followUpRds[].deathDate,string,no,yes,,,Month and year of death in YYYY-MM format.,death,,death_date,,MAPPED,[[knowledge/omop]] research 2026-06-30
followUp.followUpRds[].diagnosisEstablished,boolean,yes,yes,,,,observation,,value_as_concept_id,derived dx-established flag,DRAFT,[[knowledge/omop]] research 2026-06-30 | GAP
followUp.followUpRds[].diseaseProgression,string,no,yes,,,Case-relevant supplementary data on the progression of the disease.,observation,,value_as_string,disease-course note,DRAFT,[[knowledge/omop]] research 2026-06-30 | GAP
followUp.followUpRds[].followUpDate,string,yes,yes,,date,Follow-up date in YYYY-MM-DD format.,visit_occurrence,,visit_start_date,RD follow-up visit,DRAFT,[[knowledge/omop]] research 2026-06-30
followUp.followUpRds[].gmfcs,string,no,yes,"I, II, III, IV, V",,GMFCS level. Leave empty if not applicable.,measurement,value_as_number,no GMFCS concept -> local,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30
followUp.followUpRds[].phenotypes[].change,string,yes,yes,"newlyAdded, improved, degraded, noLongerObserved, unchanged",,,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].phenotypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].phenotypes[].display,string,no,yes,,,Representation defined by the system,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].phenotypes[].system,string,no,yes,,uri,Identity of the terminology system,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].phenotypes[].text,string,no,yes,,,Clinical description of the phenotype,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].phenotypes[].version,string,no,yes,,,Version of the system - if relevant,observation,observation_concept_id,HPO source vocab,status-history no pattern,DRAFT,[[knowledge/omop]] research 2026-06-30 | HPO source-only; status-history no OMOP pattern | [[omop-rare-disease-realworld]]
followUp.followUpRds[].vitalStatus,string,yes,yes,"living, deceased",,Vital status at the last contact.,death,,death_type_concept_id / person,alive/dead -> death record,MAPPED,[[knowledge/omop]] research 2026-06-30
metaData.addressAGS,string,yes,no,,,Official municipal code of the patient's residence.,location,location.* (person.location_id),-,AGS Gemeindeschluessel -> location_source_value/county,MAPPED,
metaData.birthDate,string,yes,no,,,Date of birth without the day. Format YYYY-MM,person,birth_datetime / year_of_birth,-,partial date -> year/month,MAPPED,
metaData.coverageType,string,yes,no,"GKV, PKV, BG, SEL, SOZ, GPV, PPV, BEI, SKT, UNK",,Health insurance providers,payer_plan_period,payer_concept_id,-,GKV/PKV -> payer (or omit),MAPPED,
metaData.decisionToInclude,boolean,yes,no,,,Decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,,,-,administrative; not OMOP-analytic,NOMAP,
metaData.gender,string,yes,no,"male, female, other, unknown",,,person,gender_concept_id,Gender,male/female/other/unknown -> Gender concepts (source in gender_source_value),MAPPED,
metaData.localCaseId,string,no,no,,,A local case identifier of the Leistungserbringer to be able to track multiple submissions referring to the same index patient,person,person_source_value,-,site-local id,MAPPED,
metaData.molecularBoardDecisionDate,string,yes,no,,date,Date of the decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,episode,episode (MTB) — see research,episode (MTB/board),OMOP episode model,DRAFT,[[knowledge/omop]] research 2026-06-30
metaData.mvConsent.presentationDate,string,no,no,,date,"Date of delivery. Date (in ISO 8601 format YYYY-MM-DD) on which the Model Project Declaration of Participation was presented to the patient, unless identical to the date of signature",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].date,string,yes,yes,,date,Date of signature of the pilot projects consent; in ISO 8601 format YYYY-MM-DD.,observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].domain,string,yes,yes,"mvSequencing, reIdentification, caseIdentification",,Scope of consent or revocation.,observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].type,string,yes,yes,"permit, deny",,"Consent or refusal to participate and consent, must be indicated for each option listed in the scope of consent.",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.version,string,yes,no,,,"Version of the declaration of participation. Name and version of the declaration of participation in the MV GenomSeq, e.g.: 'Patient Info TE Consent MVGenomSeq vers01'",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.rejectionJustification,string,no,no,"targetedDiagnosticRecommended, probablyPsychosomaticIllness, probablyCommonDisease, probablyNoGeneticCause, otherReason",,Reason for the negative decision,,,-,administrative,NOMAP,
metaData.researchConsents[].noScopeJustification,string,no,yes,"patient unable to consent, patient refuses to sign consent, patient did not return consent documents, other patient-related reason, consent information cannot be submitted by LE due to technical reason, consent is not implemented at LE due to organizational issues",,Justification if no scope object is present.,observation,observation (consent),-,no OMOP consent model; observation or out-of-scope,DRAFT,
metaData.researchConsents[].presentationDate,string,yes,yes,,date,Date of the delivery of the research consent in ISO 8601 format (YYYY-MM-DD),observation,observation (consent),-,no OMOP consent model; observation or out-of-scope,DRAFT,
metaData.researchConsents[].schemaVersion,string,no,yes,2025.0.1,,Schema version of de.medizininformatikinitiative.kerndatensatz.consent,observation,observation (consent),-,no OMOP consent model; observation or out-of-scope,DRAFT,
metaData.researchConsents[].scope,object,no,yes,,,Scope of the research consent in JSON format following the MII IG Consent v2025 FHIR schema. See 'https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Consent_V2025/MII-IG-Modul-Consent.html' and 'https://packages2.fhir.org/packages/de.medizininformatikinitiative.kerndatensatz.consent'.,observation,observation (consent),-,no OMOP consent model; observation or out-of-scope,DRAFT,
metaData.submission.clinicalDataNodeId,string,yes,no,,,"Id of the clinical data node, format KDKXXXnnn 9-digit assigned by BfArM",,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.submission.date,string,yes,no,,date,Date of submission in ISO 8601 format YYYY-MM-DD,,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.submission.diseaseType,string,yes,no,"oncological, rare, hereditary",,"Type of disease (must be oncological or hereditary for Oncology object, rare for RareDiseasesObject)",,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.submission.genomicDataCenterId,string,no,no,,,"Id of the genomic data center, format GRZXXXnnn 9-digit assigned by BfArM. Not required in cases where diagnosisOd.libraryType = none.",,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.submission.submitterId,string,yes,no,,,LE ID as specified by the BfArM or RVO,,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.submission.type,string,yes,no,"initial, followup, addition, correction, test",,"The options are: 'initial' for first submission, 'followup' is for followup submissions, 'addition' for additional submission, 'correction' for correction, 'test' is for technical testing of submissions",,,-,transport/provenance; not OMOP clinical,NOMAP,
metaData.tanC,string,yes,no,,,Transaction number VNk,person,person_source_value / person.person_id,-,pseudonym,MAPPED,
molecular.copyNumberVariants[].acmgClass,string,no,yes,"1, 2, 3, 4, 5",,ACMG class.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].acmgCriteria[].modifier,string,no,yes,"pvs, ps, pm, pp, ba, bs, bp, bm",,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].acmgCriteria[].value,string,yes,yes,"PVS1, PS1, PS2, PS3, PS4, PM1, PM2, PM3, PM4, PM5, PM6, PP1, PP2, PP3, PP4, PP5, BA1, BS1, BS2, BS3, BS4, BP1, BP2, BP3, BP4, BP5, BP6, BP7",,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].cdnaChange,string,no,yes,,,cDNA change (HGVS).,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].chromosome,string,yes,yes,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, MT",,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].diagnosticSignificance,string,no,yes,"primary, incidental, candidate",,Significance for case.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].endPosition,integer,yes,yes,,,GRCh38 coordinate VCF-style.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].externalId,string,no,yes,,,ClinVar variant ID.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].gdnaChange,string,no,yes,,,gDNA change (HGVS).,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].genes[].code,string,no,yes,,,HGNC:ID,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].identifier,string,yes,yes,,,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].localization[].code,string,no,yes,"codingRegion, splicingRegion, regulatoryRegion, intronic, intergenic",,Gene localization,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].modeOfInheritance,string,no,yes,"dominant, recessive, XLinked, mitochondrial, unclear",,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].proteinChange,string,no,yes,,,Protein change (HGVS).,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].publications[],string,no,yes,,,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].segregationAnalysis,string,no,yes,"notPerformed, deNovo, fromFather, fromMother, fromMotherAndFather",,Segregation analysis.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].startPosition,integer,yes,yes,,,GRCh38 coordinate VCF-style.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].type,string,yes,yes,"gain, loss",,,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.copyNumberVariants[].zygosity,string,no,yes,"heterozygous, homozygous, compHet, hemi, homoplasmic, heteroplasmic",,Zygosity.,measurement,G-CDM (partial),CNV partial,GAP,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic cancer-scoped; germline CNV unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].acmgClass,string,no,yes,"1, 2, 3, 4, 5",,ACMG class.,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].acmgCriteria[].modifier,string,no,yes,"pvs, ps, pm, pp, ba, bs, bp, bm",,,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].acmgCriteria[].value,string,yes,yes,"PVS1, PS1, PS2, PS3, PS4, PM1, PM2, PM3, PM4, PM5, PM6, PP1, PP2, PP3, PP4, PP5, BA1, BS1, BS2, BS3, BS4, BP1, BP2, BP3, BP4, BP5, BP6, BP7",,,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].alt,string,yes,yes,,,alt/observed sequence VCF-style.,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].cdnaChange,string,no,yes,,,cDNA change (HGVS).,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].chromosome,string,yes,yes,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, X, Y, MT",,,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].diagnosticSignificance,string,no,yes,"primary, incidental, candidate",,Significance for case.,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].endPosition,integer,yes,yes,,,End coordinate in GRCh38 VCF-style.,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].externalId,string,no,yes,,,ClinVar variant ID.,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].gdnaChange,string,no,yes,,,gDNA change (HGVS).,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].genes[].code,string,no,yes,,,HGNC:ID,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].identifier,string,yes,yes,,,,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].localization[].code,string,no,yes,"codingRegion, splicingRegion, regulatoryRegion, intronic, intergenic",,Gene localization,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
molecular.smallVariants[].modeOfInheritance,string,no,yes,"dominant, recessive, XLinked, mitochondrial, unclear",,,measurement,G-CDM Variant_Occurrence (somatic-focused),HGVS/HGNC; germline ACMG class+criteria ABSENT in OMOP,GAP: ACMG/zygosity/segregation/de-novo,DRAFT,[[knowledge/omop]] research 2026-06-30 | OMOP Genomic (HGVS/HGNC); VRS/KOIOS emerging but cancer-scoped; ACMG=gene-list filter only (no germline classification); zygosity/segregation/inheritance/trio unmodelled | [[omop-rare-disease-realworld]]
